"No.","Time","Source","Destination","Protocol","Length","Info"
"12609","30.639658","192.168.100.6","202.28.77.115","TCP","66","62738  >  32779 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12610","30.639942","192.168.100.6","202.28.77.115","TCP","66","62739  >  8100 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12611","30.640221","192.168.100.6","202.28.77.115","TCP","66","62740  >  8031 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12612","30.640492","192.168.100.6","202.28.77.115","TCP","66","62741  >  3878 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12630","30.695042","192.168.100.6","202.28.77.115","TCP","66","62742  >  5902 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12631","30.695466","192.168.100.6","202.28.77.115","TCP","66","62743  >  11110 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12632","30.695751","192.168.100.6","202.28.77.115","TCP","66","62744  >  880 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12633","30.696052","192.168.100.6","202.28.77.115","TCP","66","62745  >  340 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12634","30.696327","192.168.100.6","202.28.77.115","TCP","66","62746  >  24800 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12635","30.696600","192.168.100.6","202.28.77.115","TCP","66","62747  >  1042 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12636","30.696950","192.168.100.6","202.28.77.115","TCP","66","62748  >  49400 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12637","30.697216","192.168.100.6","202.28.77.115","TCP","66","62749  >  301 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12638","30.697490","192.168.100.6","202.28.77.115","TCP","66","62750  >  5431 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12651","30.719819","192.168.100.6","202.28.77.115","TCP","66","[TCP Port numbers reused] 62627  >  443 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12655","30.732036","192.168.100.6","202.28.77.115","TCP","66","62751  >  6006 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12656","30.732425","192.168.100.6","202.28.77.115","TCP","66","62752  >  28201 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12658","30.734399","192.168.100.6","202.28.77.115","TCP","66","62753  >  20222 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12659","30.734778","192.168.100.6","202.28.77.115","TCP","66","62754  >  8007 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12660","30.735170","192.168.100.6","202.28.77.115","TCP","66","62755  >  3527 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12661","30.735499","192.168.100.6","202.28.77.115","TCP","66","62756  >  2033 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12662","30.737271","192.168.100.6","202.28.77.115","TCP","66","62757  >  3878 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12663","30.737639","192.168.100.6","202.28.77.115","TCP","66","62758  >  8031 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12664","30.738011","192.168.100.6","202.28.77.115","TCP","66","62759  >  8100 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12665","30.738355","192.168.100.6","202.28.77.115","TCP","66","62760  >  32779 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12667","30.738779","192.168.100.6","202.28.77.115","TCP","66","62761  >  3827 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12668","30.739065","192.168.100.6","202.28.77.115","TCP","66","62762  >  8500 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12669","30.739332","192.168.100.6","202.28.77.115","TCP","66","62763  >  9 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12673","30.739619","192.168.100.6","202.28.77.115","TCP","66","62764  >  40193 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12674","30.739888","192.168.100.6","202.28.77.115","TCP","66","62765  >  1102 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12675","30.740155","192.168.100.6","202.28.77.115","TCP","66","62766  >  2222 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
"12676","30.740427","192.168.100.6","202.28.77.115","TCP","66","62767  >  1984 [SYN] Seq=0 Win=64240 Len=0 MSS=1460 WS=256 SACK_PERM"
